EcopathName,CameoName,Region,CombinedEcopathName,TrophicLevel,LengthAtMat,
Sea Pens,Sea pens (NS),EBS,,,,
Sponges,Sponges (NS),EBS,,,,
Bivalves,Bivalves (NS),EBS,,,,
Polychaetes,Polychaetes (NS),EBS,,,,
Snails,Snails (NS),EBS,,,,
Anemones,Anemones (NS),EBS,,,,
Misc. worms,Worms (NS),EBS,,,,
Urochordata,Urochordata (NS),EBS,,,,
Misc. crabs,Crabs other (NS),EBS,,,,
Misc. crabs,Snow crab,EBS,,,,
Misc. crabs,Tanner crab,EBS,,,,
Misc. Flatfish,Flatfishes (NS),EBS,,,,
Misc. crustacean,Curstaceans other (NS),EBS,,,,
Oth. managed forage,Forage fishes other (NS),EBS,,,,
Scyphozoid Jellies,Scyphozoid jellies (NS),EBS,,,,
