stockid,tsn,scientificname,commonname,areaid,stocklong,region,inmyersdb,myersstockid
HERR4RFA,161722,Clupea harengus,Herring,Canada-DFO-4R,Herring NAFO 4R fall spawners,Canada East Coast,0,NA
HERR4RSP,161722,Clupea harengus,Herring,Canada-DFO-4R,Herring NAFO 4R spring spawners,Canada East Coast,0,NA
HERR4TFA,161722,Clupea harengus,Herring,Canada-DFO-4T,Herring NAFO 4T fall spawners,Canada East Coast,0,NA
HERR4TSP,161722,Clupea harengus,Herring,Canada-DFO-4T,Herring NAFO 4T spring spawners,Canada East Coast,0,NA
HERR4VWX,161722,Clupea harengus,Herring,Canada-DFO-4VWX,Herring Scotian Shelf and Bay of Fundy,Canada East Coast,0,NA
HERRCC,551209,Clupea pallasii,Pacific herring,Canada-DFO-CC,Pacific herring Central Coast,Canada West Coast,0,NA
HERRIsum,161722,Clupea harengus,Herring,multinational-ICES-Va,Herring Iceland (Summer spawners),Europe non EU,1,HERRIsum
HERRNIRS,161722,Clupea harengus,Herring,multinational-ICES-VIIa,Herring Northern Irish Sea,European Union,1,HERRNIRS
HERRNS,161722,Clupea harengus,Herring,multinational-ICES-IV,Herring North Sea,European Union,1,HERRNS
HERRNWATLC,161722,Clupea harengus,Herring,USA-NMFS-NWATLC,Atlantic herring Northwestern Atlantic Coast,US East Coast,0,NA
HERRPRD,551209,Clupea pallasii,Pacific herring,Canada-DFO-PRD,Pacific herring Prince Rupert District,Canada West Coast,0,NA
HERRPWS,551209,Clupea pallasii,Pacific herring,USA-NMFS-PWS,Pacific herring Prince William Sound,US Alaska,0,
HERRQCI,551209,Clupea pallasii,Pacific herring,Canada-DFO-QCI,Pacific herring Queen Charlotte Islands,Canada West Coast,0,NA
HERRRIGA,161722,Clupea harengus,Herring,multinational-ICES-28,Herring ICES 28,European Union,0,NA
HERRSIRS,161722,Clupea harengus,Herring,multinational-ICES-VIIa-g-h-j,Herring ICES VIIa-g-h-j,European Union,0,
HERRSITKA,551209,Clupea pallasii,Pacific herring,USA-NMFS-SITKA,Pacific herring Sitka,US Alaska,0,
HERRSOG,551209,Clupea pallasii,Pacific herring,Canada-DFO-SOG,Pacific herring Straight of Georgia,Canada West Coast,0,NA
HERRTOG,551209,Clupea pallasii,Pacific herring,USA-NMFS-TOG,Herring Togiak District,US Alaska,0,
HERRVIa,161722,Clupea harengus,Herring,multinational-ICES-VIa,Herring ICES VIa,European Union,1,HERRVIa
HERRVIaVIIbc,161722,Clupea harengus,Herring,multinational-ICES-VIa-VIIb-VIIc,Herring ICES VIa-VIIb-VIIc,European Union,1,HERRVIaVIIbc
HERRWCVANI,551209,Clupea pallasii,Pacific herring,Canada-DFO-WCVANI,Pacific herring West Coast of Vancouver Island,Canada West Coast,0,NA
